2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  27.7% of   69.76MiB at  172.77KiB/s ETA 04:59
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  27.7% of   69.76MiB at  462.45KiB/s ETA 01:51
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  27.7% of   69.76MiB at    1.00MiB/s ETA 00:50
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  27.7% of   69.76MiB at    2.05MiB/s ETA 00:24
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  27.7% of   69.76MiB at  990.50KiB/s ETA 00:52
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  27.8% of   69.76MiB at  958.29KiB/s ETA 00:53
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  27.9% of   69.76MiB at    1.36MiB/s ETA 00:37
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  28.0% of   69.76MiB at    1.97MiB/s ETA 00:25
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  28.4% of   69.76MiB at    3.08MiB/s ETA 00:16
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  29.1% of   69.76MiB at    4.54MiB/s ETA 00:10
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  30.6% of   69.76MiB at    7.36MiB/s ETA 00:06
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  33.4% of   69.76MiB at   11.67MiB/s ETA 00:03
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  39.2% of   69.76MiB at   15.18MiB/s ETA 00:02
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  41.6% of   69.76MiB at   15.66MiB/s ETA 00:02
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  41.6% of   69.76MiB at  234.63KiB/s ETA 02:58
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  41.6% of   69.76MiB at  634.89KiB/s ETA 01:05
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  41.6% of   69.76MiB at    1.38MiB/s ETA 00:29
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  41.6% of   69.76MiB at    2.78MiB/s ETA 00:14
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  41.7% of   69.76MiB at    1.10MiB/s ETA 00:37
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  41.7% of   69.76MiB at    1.27MiB/s ETA 00:32
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  41.8% of   69.76MiB at    1.89MiB/s ETA 00:21
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  42.0% of   69.76MiB at    2.48MiB/s ETA 00:16
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  42.3% of   69.76MiB at    3.79MiB/s ETA 00:10
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  43.1% of   69.76MiB at    5.92MiB/s ETA 00:06
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  44.5% of   69.76MiB at    9.51MiB/s ETA 00:04
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  47.4% of   69.76MiB at   14.30MiB/s ETA 00:02
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  53.1% of   69.76MiB at   19.73MiB/s ETA 00:01
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  55.7% of   69.76MiB at   21.50MiB/s ETA 00:01
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  55.7% of   69.76MiB at  218.03KiB/s ETA 02:25
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  55.7% of   69.76MiB at  570.86KiB/s ETA 00:55
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  55.7% of   69.76MiB at    1.23MiB/s ETA 00:25
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  55.7% of   69.76MiB at    2.54MiB/s ETA 00:12
2026-08-28 16:02:50 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  55.8% of   69.76MiB at    1.23MiB/s ETA 00:25
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  55.8% of   69.76MiB at    1.36MiB/s ETA 00:22
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  55.9% of   69.76MiB at    2.06MiB/s ETA 00:14
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  56.1% of   69.76MiB at    2.86MiB/s ETA 00:10
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  56.4% of   69.76MiB at    4.13MiB/s ETA 00:07
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  57.1% of   69.76MiB at    6.40MiB/s ETA 00:04
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  58.6% of   69.76MiB at    9.69MiB/s ETA 00:02
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  61.4% of   69.76MiB at   13.68MiB/s ETA 00:01
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  67.2% of   69.76MiB at   19.59MiB/s ETA 00:01
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  69.4% of   69.76MiB at   21.41MiB/s ETA 00:00
